state,state_abbr,listings,avg_price,med_price,avg_ppsf,med_ppsf,avg_house_size,med_house_size,share_ready_to_build,unemp_volatility,unemp_mean,unemp_min,unemp_max,hpi_growth_2010_2023,hpi_yoy_mean,hpi_yoy_vol,median_income_mean,pop_mean,net_migration_mean,net_migration_vol
Mississippi,MS,8955,292865.3417085427,239900.0,131.01127736622334,124.62159434914228,2150.518034617532,1890.0,0.0,2.259848941180505,6.6553571428571425,2.9,15.6,0.4763187797854957,0.0345590964369127,0.0419791725898,42227.142857142855,2974253.8571428573,-0.0222222222222209,0.6359594676112984
Montana,MT,6256,824999.1085358056,497900.0,351.38241146945677,265.2641212957652,2251.7196291560103,1948.5,0.0,1.5217007391190347,4.560714285714286,2.4,11.9,0.7949498982972987,0.0600690658016551,0.0611082190379563,55617.142857142855,1052558.2142857143,0.4444444444444476,0.7601169500660936
North Carolina,NC,44141,427426.5533164178,336000.0,206.7404030743226,181.4268142681427,2028.5150087220495,1806.0,0.0250560703201105,2.6120072700701553,6.229761904761904,3.4,14.2,0.7168016186646762,0.0540642030895928,0.0626799258828188,53525.0,10195913.92857143,0.655555555555557,0.85309892613798
North Dakota,ND,2556,320141.1807511737,279000.0,141.51688374105905,133.12139846019414,2284.936228482003,2071.0,0.0,0.9266741875655108,2.9041666666666663,1.9,8.7,0.6279906689855359,0.0469695116485648,0.0292870561069972,63286.42857142857,746015.3571428572,-1.6222222222222231,0.6815016100086958
Nebraska,NE,4674,317485.8162173727,265000.0,151.0644202865641,140.2662701550521,2126.350663243474,1858.5,0.0,0.8654243031070512,3.304761904761905,2.0,8.2,0.6917298032801158,0.0517916329725242,0.0390155940330316,65199.28571428572,1909401.5,0.2888888888888898,0.5206833117271088
New Hampshire,NH,2388,553196.0716080402,433300.0,259.86032888494924,234.02953422972703,2189.6624790619767,1882.5,0.0,1.8326600106323203,3.9833333333333334,2.2,16.0,0.7009495940561905,0.0521779520854197,0.0543600714449959,78580.71428571429,1352584.5,-0.2666666666666673,1.7233687939614066
New Jersey,NJ,24830,520297.3671365284,379000.0,258.59545131334636,217.01345486111111,2110.634232782924,1716.0,0.0059202577527184,2.621300739112218,6.466666666666667,3.0,15.4,0.5215099983766569,0.0373983249655511,0.0524601809129097,74929.28571428571,8988000.5,-1.0888888888888886,0.8950481054731708
New Mexico,NM,12692,401970.07532303815,299000.0,191.47788794495716,170.86044044822242,2018.146864166404,1780.0,0.0011818468326504,1.3900311859927836,6.255357142857143,3.4,9.3,0.5161103023269265,0.039271087270263,0.0521736673242716,48551.42857142857,2096852.4285714289,0.3777777777777784,0.9189365834726794
Nevada,NV,11566,688045.4189002248,489950.0,317.6321469040441,278.84518747584076,2058.965070032855,1776.0,0.0265433166176724,3.9905748667732697,8.071428571428571,4.0,30.5,0.9591363558332082,0.0752920751113999,0.089521634897291,58906.42857142857,2949530.285714286,-0.0222222222222241,0.569600249687836
New York,NY,72152,778384.5784870829,379000.0,444.1662018810665,223.93293117006743,1898.6913876261224,1604.0,0.0003049118527552,2.3378976905831172,6.2785714285714285,3.8,16.7,0.5662056756601652,0.0412796998960001,0.0417077150809422,62255.71428571428,19645964.92857143,-0.2444444444444447,0.4333333333333308
