state,state_abbr,listings,avg_price,med_price,avg_ppsf,med_ppsf,avg_house_size,med_house_size,share_ready_to_build,unemp_volatility,unemp_mean,unemp_min,unemp_max,hpi_growth_2010_2023,hpi_yoy_mean,hpi_yoy_vol,median_income_mean,pop_mean
Kansas,KS,12147,289098.2212892072,215000.0,129.09032874896377,115.12268402603905,2110.5333827282457,1863.0,0.0,1.5078635011766757,4.425595238095238,2.5,12.1,0.6105946174887462,0.044939200348370165,0.041216620378295855,61147.142857142855,2909674.0714285714
Kentucky,KY,18106,297845.997680327,238433.0,147.3586478707935,139.28402805881558,1999.925218159726,1717.0,0.04429470893626422,2.2904707069312096,6.059523809523809,4.0,16.7,0.604143767833742,0.04468962286376588,0.04260635725252904,49115.0,4448458.071428572
Louisiana,LA,17182,320264.4383075311,250000.0,149.83448862215192,137.39748547847677,2064.7010825282273,1842.0,0.00948667209870795,1.5934259547176806,5.905952380952381,3.5,13.5,0.3923344774136224,0.030182416708897833,0.02893041948384323,47545.0,4628693.285714285
Massachusetts,MA,35652,719045.2603500505,525000.0,379.2835385004161,305.87174414913727,1998.7770391562885,1702.0,0.0011500056097834624,2.2954523388598584,5.3827380952380945,3.0,17.8,0.6601321920862251,0.04879934625725822,0.04116234232818957,77031.42857142857,6834141.714285715
Maryland,MD,41007,470483.28675591975,385000.0,221.95604956753436,204.66549295774647,2142.620455044261,1840.0,0.016143585241544127,1.778772592583926,5.116666666666667,1.9,9.0,0.4308733088136707,0.03272371858780993,0.04021537591629027,83142.14285714286,6020738.285714285
Maine,ME,2523,499351.08006341656,334900.0,262.59358960549014,198.68827160493828,2021.099088386841,1665.0,0.0,1.987543813506347,4.894642857142857,2.4,9.5,0.7035704836467076,0.05290818884675884,0.058848387033555084,58523.57142857143,1347223.5714285714
Michigan,MI,27467,323511.20358976227,234900.0,166.31159462490012,146.13309352517985,1840.1262241963084,1587.0,0.05643135398842247,3.216356594560127,6.7839285714285715,3.7,22.7,0.7532970882720225,0.05639080062680754,0.04354158004778972,58632.857142857145,9970821.0
Minnesota,MN,35800,397081.0931284916,330000.0,176.76291002919805,164.47368421052633,2290.7893296089387,2064.0,0.013547486033519553,1.6252060034806788,4.395238095238095,2.3,11.1,0.577922246547125,0.044111109197709365,0.04232588960070922,71828.57142857143,5545283.214285715
Missouri,MO,33829,304517.7050755269,239900.0,151.06528799559126,141.87866927592955,1972.7072925596383,1662.0,0.0039019775931892755,2.1874173575981417,5.289285714285715,2.3,11.6,0.6082358450303991,0.04542878244149972,0.04729382579741253,58067.142857142855,6099544.642857143
Mississippi,MS,8955,292865.3417085427,239900.0,131.01127736622334,124.62159434914228,2150.518034617532,1890.0,0.0,2.259848941180505,6.6553571428571425,2.9,15.6,0.47631877978549575,0.03455909643691272,0.04197917258980005,42227.142857142855,2974253.8571428573
Montana,MT,6256,824999.1085358056,497900.0,351.38241146945677,265.2641212957652,2251.7196291560103,1948.5,0.0,1.5217007391190347,4.560714285714286,2.4,11.9,0.7949498982972987,0.060069065801655115,0.061108219037956366,55617.142857142855,1052558.2142857143
North Carolina,NC,44141,427426.5533164178,336000.0,206.74040307432261,181.4268142681427,2028.5150087220497,1806.0,0.025056070320110556,2.6120072700701553,6.229761904761904,3.4,14.2,0.7168016186646762,0.05406420308959281,0.06267992588281888,53525.0,10195913.92857143
North Dakota,ND,2556,320141.1807511737,279000.0,141.51688374105905,133.12139846019414,2284.936228482003,2071.0,0.0,0.9266741875655108,2.9041666666666663,1.9,8.7,0.6279906689855359,0.046969511648564874,0.029287056106997257,63286.42857142857,746015.3571428572
Nebraska,NE,4674,317485.8162173727,265000.0,151.0644202865641,140.2662701550521,2126.3506632434746,1858.5,0.0,0.8654243031070512,3.304761904761905,2.0,8.2,0.6917298032801158,0.0517916329725242,0.03901559403303168,65199.28571428572,1909401.5
New Hampshire,NH,2388,553196.0716080402,433300.0,259.86032888494924,234.02953422972706,2189.6624790619767,1882.5,0.0,1.8326600106323205,3.9833333333333334,2.2,16.0,0.7009495940561905,0.05217795208541974,0.05436007144499596,78580.71428571429,1352584.5
New Jersey,NJ,24830,520297.36713652837,379000.0,258.59545131334636,217.01345486111111,2110.634232782924,1716.0,0.005920257752718486,2.621300739112218,6.466666666666667,3.0,15.4,0.5215099983766569,0.03739832496555118,0.052460180912909736,74929.28571428571,8988000.5
New Mexico,NM,12692,401970.07532303815,299000.0,191.47788794495716,170.86044044822242,2018.146864166404,1780.0,0.0011818468326504886,1.3900311859927836,6.255357142857143,3.4,9.3,0.5161103023269265,0.03927108727026302,0.05217366732427168,48551.42857142857,2096852.4285714286
Nevada,NV,11566,688045.4189002248,489950.0,317.6321469040441,278.84518747584076,2058.965070032855,1776.0,0.026543316617672487,3.9905748667732697,8.071428571428571,4.0,30.5,0.9591363558332082,0.07529207511139997,0.08952163489729106,58906.42857142857,2949530.285714286
New York,NY,72152,778384.5784870829,379000.0,444.1662018810665,223.93293117006746,1898.6913876261226,1604.0,0.0003049118527552944,2.3378976905831172,6.2785714285714285,3.8,16.7,0.5662056756601652,0.04127969989600018,0.04170771508094228,62255.71428571428,19645964.92857143
Ohio,OH,47775,246073.65737310308,185000.0,123.90164585383316,115.3076923076923,1945.3500994243852,1691.0,0.027189952904238618,2.1682245282235915,6.0,3.4,16.5,0.619989243275465,0.04588722047090339,0.046579450945664354,56710.0,11664004.07142857
Oklahoma,OK,29472,285469.6538070033,224992.5,139.52646862189022,130.7412215484781,1940.2809785559175,1724.0,0.018661780673181326,1.3364000944448786,4.461904761904762,2.9,12.5,0.585256349070149,0.043777787982495826,0.04275826596361627,52885.71428571428,3916101.9285714286
Oregon,OR,26615,599092.0539545369,500000.0,313.17294049160313,292.7400468384075,1942.067555889536,1728.0,0.004621454067255307,2.421595099469979,6.111309523809524,3.4,13.7,0.7518439530718846,0.059110036795295424,0.06030969530129831,65861.42857142857,4082699.285714286
Pennsylvania,PA,61980,354995.4063730236,272990.0,173.73650133006075,159.17906069480102,2012.7734107776703,1728.0,0.03238141335914811,1.852816350547612,5.9523809523809526,3.5,16.1,0.5270562469754054,0.03900488707932421,0.04182811158073358,62404.28571428572,12842493.642857144
Rhode Island,RI,7711,481408.3113733627,369000.0,268.6817163764593,247.64663287472845,1999.0461678122163,1536.0,0.0,3.2431971309887073,6.760714285714285,2.6,17.9,0.6498840547628406,0.04803541410907416,0.05748407332461748,64598.57142857143,1068588.7142857143
South Carolina,SC,23279,453245.20248550194,325374.0,214.89749489993204,175.70093457943926,2041.9072125091284,1837.0,0.027836247261480304,2.769141266917393,5.817261904761905,2.4,11.7,0.7076856616043603,0.05265097432734137,0.05871091348043362,53080.71428571428,4982763.285714285
South Dakota,SD,2345,421389.91343283583,319950.0,200.8665231819078,175.29419795221844,2077.572707889126,1801.0,0.0,1.0262174851243875,3.2428571428571424,1.8,8.8,0.7266491687839105,0.053787454056545246,0.04480280443167061,59614.28571428572,866948.7142857143
Tennessee,TN,20539,478024.7306587468,349000.0,217.6097571429942,185.7,2131.71537075807,1847.0,0.006913676420468377,2.441625293673813,5.738095238095238,3.1,15.7,0.8168035375330103,0.06135171804549397,0.06069228222505441,52345.71428571428,6709084.071428572
Texas,TX,165328,441578.1894931893,340000.0,195.05188860925233,170.939831315232,2193.6489402883963,1987.0,0.03268653827542824,1.7818732713886873,5.479166666666667,3.4,12.8,0.8236169331130396,0.06276024932147248,0.05057995148253976,60355.71428571428,27953609.64285714
Utah,UT,11228,853491.0415033844,589900.0,332.74787792406005,245.89561957682938,2714.60616316352,2400.0,0.013626647666547916,1.8274761921739633,4.0095238095238095,2.2,10.0,0.8945676559673323,0.06911358483975397,0.06898368241327167,73480.0,3087817.6428571427
Virginia,VA,55369,513872.4552728061,400000.0,233.61652442024518,205.2545155993432,2240.047029926493,1923.0,0.00928317289458,1.643401817074523,4.497023809523809,2.5,11.9,0.5336141722234373,0.039797814609897,0.04324263155857326,72931.42857142857,8423095.642857144
Vermont,VT,1646,555725.4726609964,369000.0,238.5860070094278,194.19023405972558,2337.559538274605,1992.0,0.0,1.619066672215503,3.742261904761905,1.7,14.1,0.5715612674965573,0.042662525758713925,0.054622056254705044,65621.42857142857,631638.0714285715
Washington,WA,53467,695005.0882413451,550000.0,358.58028181607665,312.5,1983.9450689210166,1792.0,0.006078515719976808,2.2914053691404535,6.1744047619047615,3.6,17.1,0.8235177397826527,0.06405051769617529,0.06383332631858868,72952.85714285714,7332235.571428572
Wisconsin,WI,20955,336064.970365068,270500.0,172.076809225392,152.353538774128,1974.7490813648294,1754.0,0.00042949176807444524,2.084344180200112,4.899404761904762,2.6,14.1,0.6010329063843844,0.04413655736030306,0.04776326605664096,61741.42857142857,5799065.785714285
West Virginia,WV,8119,252160.22047050128,200000.0,126.473326357195,115.97938144329896,2010.4179086094346,1754.0,0.00874491932504003,1.6856761653971295,6.113095238095238,3.5,15.8,0.44846901422999785,0.031845283152764234,0.03546725736506393,47204.28571428572,1820800.0714285714
Wyoming,WY,1872,689622.5854700855,385000.0,277.49867596724374,172.56004268838979,2475.045405982906,2172.5,0.0,1.1290870063557104,4.703571428571429,2.8,8.7,0.5498182440543617,0.04166064405912072,0.04267225728500559,62865.0,579258.2142857143
