year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,leading_cities,net_migration_pct
2017,North Dakota,ND,37.0,49.1,50.9,None,-1.7999999999999972
2017,Ohio,OH,34.0,49.9,50.1,None,-0.20000000000000284
2017,Oklahoma,OK,24.0,50.1,49.9,#20 Edmond,0.20000000000000284
2017,Oregon,OR,32.0,49.9,50.1,None,-0.20000000000000284
2017,Pennsylvania,PA,48.0,49.2,50.8,#7 Pittsburgh,-1.5999999999999943
2017,Rhode Island,RI,39.0,49.1,50.9,None,-1.7999999999999972
2017,South Carolina,SC,4.0,50.5,49.5,#25 Myrtle Beach,1.0
2017,South Dakota,SD,27.0,50.0,50.0,None,0.0
2017,Tennessee,TN,5.0,50.3,49.7,None,0.5999999999999943
2017,Texas,TX,1.0,50.3,49.7,"#8 McKinney, #24 Prosper",0.5999999999999943
2017,Utah,UT,21.0,50.2,49.8,None,0.4000000000000057
2017,Vermont,VT,10.0,52.2,47.8,None,4.400000000000006
2017,Virginia,VA,13.0,50.1,49.9,#9 Richmond,0.20000000000000284
2017,Washington,WA,6.0,50.3,49.7,"#5 Tacoma, #11 Olympia",0.5999999999999943
2017,West Virginia,WV,15.0,50.6,49.4,None,1.2000000000000028
2017,Wisconsin,WI,20.0,50.1,49.9,None,0.20000000000000284
2017,Wyoming,WY,22.0,50.8,49.2,None,1.5999999999999943
2018,Alabama,AL,42.0,49.7,50.3,None,-0.5999999999999943
2018,Alaska,AK,31.0,49.9,50.1,None,-0.20000000000000284
2018,Arizona,AZ,23.0,50.1,49.9,None,0.20000000000000284
2018,Arkansas,AR,22.0,50.1,49.9,None,0.20000000000000284
2018,California,CA,48.0,49.9,50.1,"#1 Sacramento-Roseville, #6 San Francisco, #14 Palm Springs-Cathedral City, #16 Davis, #19 Temecula, #24 Concord",-0.20000000000000284
2018,Colorado,CO,16.0,50.1,49.9,None,0.20000000000000284
2018,Connecticut,CT,21.0,50.1,49.9,None,0.20000000000000284
