year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,net_migration_pct
2023,Louisiana,LA,45.0,49.2,50.8,-1.5999999999999943
2015,Massachusetts,MA,36.0,49.9,50.1,-0.2000000000000028
2016,Massachusetts,MA,42.0,49.6,50.4,-0.7999999999999972
2017,Massachusetts,MA,46.0,49.1,50.9,-1.7999999999999972
2018,Massachusetts,MA,46.0,49.5,50.5,-1.0
2019,Massachusetts,MA,47.0,49.1,50.9,-1.7999999999999972
2020,Massachusetts,MA,47.0,49.2,50.8,-1.5999999999999943
2021,Massachusetts,MA,47.0,49.3,50.7,-1.4000000000000057
2022,Massachusetts,MA,47.0,49.3,50.7,-1.4000000000000057
2023,Massachusetts,MA,49.0,48.0,52.0,-4.0
2015,Maryland,MD,20.0,50.3,49.7,0.5999999999999943
2016,Maryland,MD,37.0,49.9,50.1,-0.2000000000000028
2017,Maryland,MD,42.0,49.7,50.3,-0.5999999999999943
2018,Maryland,MD,6.0,50.4,49.6,0.7999999999999972
2019,Maryland,MD,45.0,49.5,50.5,-1.0
2020,Maryland,MD,46.0,49.5,50.5,-1.0
2021,Maryland,MD,34.0,49.8,50.2,-0.4000000000000057
2022,Maryland,MD,44.0,49.6,50.4,-0.7999999999999972
2023,Maryland,MD,44.0,49.3,50.7,-1.4000000000000057
2015,Maine,ME,9.0,53.0,47.0,6.0
2016,Maine,ME,6.0,51.5,48.5,3.0
2017,Maine,ME,26.0,50.0,50.0,0.0
2018,Maine,ME,10.0,50.5,49.5,1.0
2019,Maine,ME,33.0,49.9,50.1,-0.2000000000000028
2020,Maine,ME,29.0,50.7,49.3,1.4000000000000057
2021,Maine,ME,8.0,50.9,49.1,1.7999999999999972
2022,Maine,ME,29.0,50.1,49.9,0.2000000000000028
2023,Maine,ME,31.0,49.9,50.1,-0.2000000000000028
2015,Michigan,MI,27.0,50.2,49.8,0.4000000000000057
2016,Michigan,MI,48.0,49.1,50.9,-1.7999999999999972
2017,Michigan,MI,47.0,49.1,50.9,-1.7999999999999972
2018,Michigan,MI,49.0,49.2,50.8,-1.5999999999999943
2019,Michigan,MI,48.0,49.3,50.7,-1.4000000000000057
2020,Michigan,MI,40.0,49.9,50.1,-0.2000000000000028
2021,Michigan,MI,42.0,49.8,50.2,-0.4000000000000057
2022,Michigan,MI,48.0,49.6,50.4,-0.7999999999999972
2023,Michigan,MI,46.0,49.5,50.5,-1.0
2015,Minnesota,MN,12.0,51.1,48.9,2.200000000000003
2016,Minnesota,MN,3.0,50.9,49.1,1.7999999999999972
2017,Minnesota,MN,35.0,49.8,50.2,-0.4000000000000057
2018,Minnesota,MN,37.0,49.8,50.2,-0.4000000000000057
2019,Minnesota,MN,15.0,50.2,49.8,0.4000000000000057
2020,Minnesota,MN,20.0,50.3,49.7,0.5999999999999943
2021,Minnesota,MN,17.0,50.3,49.7,0.5999999999999943
2022,Minnesota,MN,17.0,50.3,49.7,0.5999999999999943
2023,Minnesota,MN,20.0,50.1,49.9,0.2000000000000028
2015,Missouri,MO,18.0,50.4,49.6,0.7999999999999972
2016,Missouri,MO,5.0,50.4,49.6,0.7999999999999972
2017,Missouri,MO,30.0,50.0,50.0,0.0
